training_games,checkpoint,bandit_type,model_path,agent_stockfish_level,opponent_level,level,games,wins,losses,draws,winrate,mean_plies_to_win,mean_clock_used_per_win,loss_on_time_rate
5,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,10,5,5,1,0,0,1,0.0,,,0.0
5,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,10,8,8,1,0,1,0,0.0,,,1.0
5,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,10,10,10,1,0,1,0,0.0,,,1.0
5,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_5.npz,10,12,12,1,0,1,0,0.0,,,1.0
10,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,10,5,5,1,1,0,0,1.0,83.0,50.17984914779663,0.0
10,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,10,8,8,1,1,0,0,1.0,117.0,56.20456004142761,0.0
10,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,10,10,10,1,1,0,0,1.0,107.0,41.15533661842346,0.0
10,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_10.npz,10,12,12,1,0,1,0,0.0,,,1.0
15,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,10,5,5,1,0,1,0,0.0,,,1.0
15,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,10,8,8,1,1,0,0,1.0,57.0,39.350122690200806,0.0
15,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,10,10,10,1,0,1,0,0.0,,,0.0
15,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_15.npz,10,12,12,1,0,1,0,0.0,,,1.0
20,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,10,5,5,1,1,0,0,1.0,113.0,37.5223114490509,0.0
20,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,10,8,8,1,0,1,0,0.0,,,1.0
20,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,10,10,10,1,0,0,1,0.0,,,0.0
20,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,basic_linucb,/Users/sarahdambielle/Projects/chessomatic/Chessomatic-main/project/models/checkpoints/learn_sf10_basic_t60_g20_20.npz,10,12,12,1,0,1,0,0.0,,,0.0
